[소노] 2026년 08월 예약가능 잔여객실 현황
수집일시: 2026-06-30 18:02
==================================================

■ 지점명: 소노문 해운대 (경상)
  - 2026년 08월 09일 (일요일) | 스탠다드 | 예약가능 (62실)
  - 2026년 08월 25일 (화요일) | 디럭스 | 예약가능 (132실)
  - 2026년 08월 26일 (수요일) | 디럭스 | 예약가능 (150실)
  - 2026년 08월 27일 (목요일) | 디럭스 | 예약가능 (133실)
  - 2026년 08월 28일 (금요일) | 디럭스 | 예약가능 (88실)
  - 2026년 08월 29일 (토요일) | 디럭스 | 예약가능 (85실)
  - 2026년 08월 30일 (일요일) | 디럭스 | 예약가능 (134실)
  - 2026년 08월 31일 (월요일) | 디럭스 | 예약가능 (157실)

■ 지점명: 쏠비치 양양 리조트 (강원)
  - 2026년 08월 30일 (일요일) | 스위트 | 예약가능 (56실)
  - 2026년 08월 31일 (월요일) | 스위트 | 예약가능 (66실)

■ 지점명: 쏠비치 진도 리조트 (전라)
  - 2026년 08월 18일 (화요일) | 스위트 | 예약가능 (62실)
  - 2026년 08월 19일 (수요일) | 스위트 | 예약가능 (71실)
  - 2026년 08월 20일 (목요일) | 스위트 | 예약가능 (65실)
  - 2026년 08월 23일 (일요일) | 스위트 | 예약가능 (55실)
  - 2026년 08월 24일 (월요일) | 스위트 | 예약가능 (51실)
  - 2026년 08월 25일 (화요일) | 스위트 | 예약가능 (70실)
  - 2026년 08월 26일 (수요일) | 스위트 | 예약가능 (72실)
  - 2026년 08월 26일 (수요일) | 스위트 | 예약가능 (52실)
  - 2026년 08월 26일 (수요일) | 패밀리 | 예약가능 (50실)
  - 2026년 08월 27일 (목요일) | 스위트 | 예약가능 (76실)
  - 2026년 08월 28일 (금요일) | 스위트 | 예약가능 (51실)
  - 2026년 08월 30일 (일요일) | 스위트 | 예약가능 (70실)
  - 2026년 08월 31일 (월요일) | 스위트 | 예약가능 (75실)

■ 지점명: 쏠비치 진도 호텔 (전라)
  - 2026년 08월 19일 (수요일) | 슈페리어 | 예약가능 (56실)
  - 2026년 08월 20일 (목요일) | 슈페리어 | 예약가능 (58실)
  - 2026년 08월 25일 (화요일) | 슈페리어 | 예약가능 (64실)
  - 2026년 08월 26일 (수요일) | 슈페리어 | 예약가능 (63실)
  - 2026년 08월 27일 (목요일) | 슈페리어 | 예약가능 (72실)
  - 2026년 08월 28일 (금요일) | 슈페리어 | 예약가능 (51실)
  - 2026년 08월 30일 (일요일) | 슈페리어 | 예약가능 (69실)
  - 2026년 08월 31일 (월요일) | 슈페리어 | 예약가능 (77실)
